,score,#nodes,xmin,alpha,date
58,140.98877112029473,2283,3.0,2.98171536304017,2017-07-14
59,1365.59915620246,2326,2.0,10.456301711610266,2017-07-15
60,1474.4111611400317,2347,2.0,11.03530841730826,2017-07-16
61,1524.06833795364,2334,2.0,11.349500593450408,2017-07-17
62,1492.4065441547705,2180,2.0,12.310593588527103,2017-07-18
63,1478.6246563941068,2098,2.0,12.462036055529623,2017-07-19
64,1556.8926676519286,2116,2.0,13.226330394057179,2017-07-20
65,1515.1945837303074,2099,2.0,12.493457017256267,2017-07-21
66,1612.1149721803938,2117,2.0,12.557720226858008,2017-07-22
67,1673.6787468450557,2175,2.0,12.877563216766708,2017-07-23
68,1733.5891527410322,2215,2.0,13.047280510063699,2017-07-24
69,1729.444155568667,2165,2.0,13.412885511735075,2017-07-25
70,1711.5707736148172,2147,2.0,13.986473333907101,2017-07-26
71,1662.3621551142196,2112,2.0,13.74220355791496,2017-07-27
72,1718.786814918267,2118,2.0,14.890227318117592,2017-07-28
73,1679.388056972999,2099,2.0,15.381686648266719,2017-07-29
74,1616.2454872220594,2050,2.0,15.373489161705344,2017-07-30
75,1655.3383425388515,2006,2.0,17.297388957133304,2017-07-31
76,1414.376379375239,1820,2.0,17.137967451829702,2017-08-01
77,1313.4544230412437,1738,2.0,16.276750006980578,2017-08-02
78,1375.3171579636023,1798,2.0,15.777295113629563,2017-08-03
79,1343.3442182429399,1840,2.0,14.736208447214185,2017-08-04
80,1560.4655747721729,1993,2.0,14.191260971677117,2017-08-05
81,1738.8270092646808,2088,2.0,15.608030234520657,2017-08-06
82,1913.7664222212777,2252,2.0,15.846492509130593,2017-08-07
83,2321.878734846168,2581,2.0,15.82075100166503,2017-08-08
84,2620.4350595557703,2786,2.0,16.43454186547832,2017-08-09
85,2834.395771283862,3006,2.0,16.341998257971564,2017-08-10
86,187.30824158707176,3228,3.0,2.850609606358302,2017-08-11
87,219.0623998111497,3272,3.0,3.1913613556012947,2017-08-12
88,256.20210529234316,3443,3.0,3.313536601571914,2017-08-13
89,270.6057987169513,3452,3.0,3.395105519809338,2017-08-14
90,266.59446388728315,3384,3.0,3.452956369324691,2017-08-15
91,246.34975232206023,3302,3.0,3.379629176836826,2017-08-16
92,3121.1777369184383,3089,2.0,17.842658746121,2017-08-17
93,2783.8900275425785,2805,2.0,19.454848587102678,2017-08-18
94,2646.924727958327,2664,2.0,19.556346087254216,2017-08-19
95,2351.3925611576847,2480,2.0,19.73948687519464,2017-08-20
96,2258.186628976708,2406,2.0,19.093033520368067,2017-08-21
97,2146.0199358350264,2338,2.0,18.56084147626071,2017-08-22
98,2108.422337678677,2369,2.0,17.85026576046594,2017-08-23
99,2089.4465020442294,2356,2.0,17.90078797741985,2017-08-24
100,2120.6884822733296,2376,2.0,17.60310284161004,2017-08-25
101,2120.3561460408855,2356,2.0,17.84370254153268,2017-08-26
102,2224.811518330196,2365,2.0,18.10365848489828,2017-08-27
103,2220.2996191071943,2400,2.0,17.576572366152277,2017-08-28
104,2383.9580695309764,2525,2.0,17.601734085565013,2017-08-29
105,2427.356596343883,2604,2.0,16.714356296173094,2017-08-30
106,2567.99036310243,2714,2.0,16.45665087305438,2017-08-31
107,2797.4577521237047,2868,2.0,16.18639225273379,2017-09-01
108,2562.0854978627967,2901,2.0,15.116279595873571,2017-09-02
109,2360.3332332476975,2814,2.0,15.096374932718277,2017-09-03
110,2063.3349633900493,2831,2.0,13.972227311409071,2017-09-04
111,2517.139034244333,2783,2.0,16.67773169832737,2017-09-05
112,2158.1966943827606,2673,2.0,14.384043471167566,2017-09-06
113,1864.2454500025744,2589,2.0,13.188202530239952,2017-09-07
114,2132.5575263163987,2371,2.0,16.254409743223334,2017-09-08
115,2026.4492583201668,2375,2.0,15.485266828984036,2017-09-09
116,2048.108665578286,2410,2.0,15.592179708803945,2017-09-10
117,1854.5986553965004,2330,2.0,15.365946523996431,2017-09-11
118,1640.1048973148256,2040,2.0,14.008209700688097,2017-09-12
119,1587.5658068905427,2032,2.0,14.346786743101354,2017-09-13
120,1494.7965646880393,1951,2.0,14.47016922304456,2017-09-14
121,1412.5358072603854,1749,2.0,14.89093287705618,2017-09-15
122,1319.7582828830605,1667,2.0,15.00181111621414,2017-09-16
123,1224.7633279448703,1573,2.0,14.340969742948575,2017-09-17
124,1299.8967723891788,1568,2.0,15.901245924521284,2017-09-18
125,1227.062543548396,1518,2.0,15.046697112643926,2017-09-19
126,1230.0233325310749,1450,2.0,15.276693458700661,2017-09-20
127,1164.2533751460487,1438,2.0,14.154770288587127,2017-09-21
128,1134.940689592865,1367,2.0,14.90823967472065,2017-09-22
129,1108.248338186835,1367,2.0,14.866479878215749,2017-09-23
130,1138.4954990674205,1375,2.0,14.744839851913186,2017-09-24
131,1082.3606886872594,1339,2.0,14.042194254744087,2017-09-25
132,1060.3161816241964,1324,2.0,14.371130451511096,2017-09-26
133,1109.6947169037974,1325,2.0,15.899591034918927,2017-09-27
134,1118.7053053309269,1354,2.0,16.444551345610336,2017-09-28
135,1064.2442320915425,1350,2.0,14.959215264561676,2017-09-29
136,1101.3933094759273,1389,2.0,15.280271989584959,2017-09-30
137,1048.4624059899836,1385,2.0,13.84761531579972,2017-10-01
138,1047.5513487461546,1366,2.0,13.38845413286369,2017-10-02
139,985.376872308662,1385,2.0,11.690269896513637,2017-10-03
140,959.9659445688476,1393,2.0,11.738873275022954,2017-10-04
141,934.5343508823394,1350,2.0,11.356207896726774,2017-10-05
142,981.6482411274126,1418,2.0,11.723600170485266,2017-10-06
143,935.8194314549912,1379,2.0,11.530937603241922,2017-10-07
144,972.2970770678526,1400,2.0,11.940499204221705,2017-10-08
145,1035.9527867267013,1465,2.0,12.144349069277244,2017-10-09
146,1135.3852437195974,1489,2.0,13.354128202679082,2017-10-10
147,1174.0493052392449,1505,2.0,13.51183747503825,2017-10-11
148,1224.1682442194474,1567,2.0,13.403290843814785,2017-10-12
149,1695.9944298356736,1934,2.0,15.022243041330098,2017-10-13
150,1816.2474358064048,2076,2.0,15.48691251137636,2017-10-14
151,1790.256134847869,2060,2.0,15.095568158660328,2017-10-15
152,1723.26724587511,2032,2.0,14.138224833640193,2017-10-16
153,1691.5218699758461,2118,2.0,13.150855983125783,2017-10-17
154,1739.0937991415105,2112,2.0,13.712943579342696,2017-10-18
155,1710.311230850608,2112,2.0,13.327225117680308,2017-10-19
156,1394.0382185530352,1765,2.0,13.800986898455228,2017-10-20
157,1388.5289923857717,1708,2.0,13.961931420709098,2017-10-21
158,1402.771600004888,1709,2.0,14.86122463319609,2017-10-22
159,1449.951532982815,1741,2.0,15.739879650567444,2017-10-23
160,1470.7996552630884,1717,2.0,15.28418600831238,2017-10-24
161,1451.2163468293752,1709,2.0,15.113138736919698,2017-10-25
162,1440.151112643799,1696,2.0,16.085340528035807,2017-10-26
163,1369.989307321583,1620,2.0,15.47830432221417,2017-10-27
164,1316.0923149595064,1589,2.0,14.67984406683309,2017-10-28
165,1413.2235262604697,1634,2.0,15.405336005806857,2017-10-29
166,1335.4132653147535,1599,2.0,14.698873589499463,2017-10-30
167,1309.5575364272163,1536,2.0,14.955821762889283,2017-10-31
168,1567.5344076967476,1683,2.0,17.323291744400738,2017-11-01
169,1788.6467541078694,1801,2.0,19.17942181423048,2017-11-02
170,1823.1617776191074,1961,2.0,16.755121467390143,2017-11-03
171,1944.8823456178923,2060,2.0,16.890680951433296,2017-11-04
172,1955.6932213426269,2054,2.0,17.113792782938262,2017-11-05
173,1969.4252983504844,2066,2.0,17.202224586983235,2017-11-06
174,1888.599182041681,1998,2.0,16.956887625727916,2017-11-07
175,1758.155085451343,1893,2.0,16.08033070709506,2017-11-08
176,1786.0714464866583,1981,2.0,14.524052380380814,2017-11-09
177,2017.6824670935844,2054,2.0,16.465680800683245,2017-11-10
178,2125.317784524717,2064,2.0,17.35884729163516,2017-11-11
179,2371.3766830723393,2199,2.0,17.281341263196094,2017-11-12
180,2372.6388239489784,2252,2.0,16.816628979967252,2017-11-13
181,2355.3989162761636,2219,2.0,17.237900872024678,2017-11-14
182,2448.9587796363003,2280,2.0,18.38013002144529,2017-11-15
183,2253.5244930924705,2166,2.0,17.885452253666287,2017-11-16
184,2028.963886497523,2140,2.0,16.055321386384556,2017-11-17
185,1995.416403627452,2184,2.0,15.84478794645246,2017-11-18
186,1951.5565321475406,2161,2.0,16.015219983280552,2017-11-19
187,2032.2403688983582,2238,2.0,16.054752614416955,2017-11-20
188,2328.1286450232387,2451,2.0,16.141040703624075,2017-11-21
189,2469.303277287785,2608,2.0,16.41637259584073,2017-11-22
190,2567.1984413021664,2681,2.0,16.334905527865057,2017-11-23
191,2568.0181830675256,2663,2.0,17.28336538531962,2017-11-24
192,2756.8285371368593,2891,2.0,17.095444672923843,2017-11-25
193,3058.293568171408,3035,2.0,17.537458190574878,2017-11-26
194,3321.132126149857,3372,2.0,17.568661869004355,2017-11-27
195,250.16682603494473,3640,3.0,3.306620081822079,2017-11-28
196,299.4813987068442,3837,3.0,3.5696539395782274,2017-11-29
197,3906.123410183574,3843,2.0,17.319941167277523,2017-11-30
198,4028.5619571692664,3903,2.0,17.732914832218036,2017-12-01
199,260.6743533803169,3906,3.0,3.3086506784710767,2017-12-02
200,258.2269847504256,3847,3.0,3.3403093263251917,2017-12-03
201,3492.950600510734,3695,2.0,18.09662433167576,2017-12-04
202,234.59383991002693,3494,3.0,3.587897057851523,2017-12-05
203,2368.9876757688794,3077,2.0,15.16983872640154,2017-12-06
204,2115.3711194384605,2843,2.0,15.087473029668093,2017-12-07
205,2427.146307044142,2806,2.0,17.53147017757206,2017-12-08
206,2177.833384812961,2585,2.0,17.500326147803676,2017-12-09
207,2032.8463871775307,2441,2.0,16.569822756578407,2017-12-10
208,2149.618218979266,2651,2.0,16.562055307754296,2017-12-11
209,2515.7105975840022,3038,2.0,18.463215193979494,2017-12-12
210,3008.3908661140154,3568,2.0,19.859447774757996,2017-12-13
211,3504.6342558602237,3979,2.0,19.68713065475472,2017-12-14
212,3664.8306305346327,3944,2.0,20.540692545724568,2017-12-15
213,3855.275212592691,4137,2.0,20.071883833095285,2017-12-16
214,4149.896483588304,4308,2.0,21.312988554235506,2017-12-17
215,3872.4536980293233,4276,2.0,19.968495130415604,2017-12-18
216,3876.6298557963673,4394,2.0,19.27079782850555,2017-12-19
217,3800.9548313063224,4283,2.0,18.483666189248545,2017-12-20
218,3802.141509382657,4370,2.0,19.066206117090548,2017-12-21
219,3941.746234261575,4426,2.0,19.39111373819896,2017-12-22
220,3765.1156096916757,4404,2.0,17.432470518388747,2017-12-23
221,3539.372761243426,4249,2.0,16.055688562627843,2017-12-24
222,3411.6073999960645,4283,2.0,14.917392437107655,2017-12-25
223,2997.2515011798964,3906,2.0,13.94913862394464,2017-12-26
224,92.72656656670605,3759,4.0,2.2325632678439824,2017-12-27
225,83.35817510655966,3571,4.0,2.165768860287277,2017-12-28
226,2597.2952854103623,3659,2.0,11.967182240695,2017-12-29
227,97.07609994205927,3654,4.0,2.2335852982749924,2017-12-30
228,116.0557519655294,3747,4.0,2.414180635317817,2017-12-31
229,203.43159804128396,3587,3.0,2.7542386213547103,2018-01-01
230,185.1143481761122,3393,3.0,2.726847598372615,2018-01-02
231,102.79921640655289,3797,4.0,2.32974921566917,2018-01-03
232,102.51827761223085,3792,4.0,2.3722279781856193,2018-01-04
233,107.60089297173967,4059,4.0,2.403027986450299,2018-01-05
234,117.02018136167732,4197,4.0,2.4320091030336295,2018-01-06
235,132.59034661781578,4245,4.0,2.5177967517884676,2018-01-07
236,285.0873566081815,4356,3.0,3.1244973061579833,2018-01-08
237,282.09995509265764,4129,3.0,3.137283720074649,2018-01-09
238,207.80414013294168,3596,3.0,2.919521716141995,2018-01-10
239,134.19123175651475,3849,4.0,2.5816609207753523,2018-01-11
240,204.44435718193375,3407,3.0,2.792758352899062,2018-01-12
241,126.35812463691968,3343,4.0,2.6186646301053025,2018-01-13
242,124.878379785913,3342,4.0,2.6098264583303603,2018-01-14
243,119.530363962998,3335,4.0,2.572277640225092,2018-01-15
244,149.43399257658584,3614,4.0,2.7779835470950855,2018-01-16
245,158.01241038258098,3679,4.0,2.8459024489707163,2018-01-17
246,224.43906032651495,3328,3.0,3.041236582654366,2018-01-18
247,213.3164425968042,3163,3.0,3.119064454047785,2018-01-19
248,205.79753981868248,3001,3.0,3.3245380958705875,2018-01-20
249,2657.4514598428214,2756,2.0,17.88612583500719,2018-01-21
250,2526.154521991964,2630,2.0,17.919036152030923,2018-01-22
251,2593.886808016915,2628,2.0,18.149003810236742,2018-01-23
252,2482.7521880042095,2567,2.0,16.879454358062922,2018-01-24
253,2513.3325994634024,2555,2.0,17.297981774610424,2018-01-25
254,2707.333616785322,2652,2.0,17.08645140903205,2018-01-26
255,2875.1163864504924,2731,2.0,16.945928261243584,2018-01-27
256,2935.8890873359605,2756,2.0,16.38508210821928,2018-01-28
257,2955.4361717785164,2783,2.0,16.15231817134373,2018-01-29
258,155.1891492984392,2574,3.0,2.7820746499024027,2018-01-30
259,151.75872437013425,2533,3.0,2.823427384393645,2018-01-31
260,2664.0623655016343,2460,2.0,17.145616563825218,2018-02-01
261,2605.016980063273,2472,2.0,18.045031937350814,2018-02-02
262,2299.5747437125233,2250,2.0,18.33424520498581,2018-02-03
263,2068.4823274829437,2118,2.0,17.26959894093216,2018-02-04
264,2056.9057396350695,2062,2.0,18.64988162127619,2018-02-05
265,2000.0314192856315,1969,2.0,19.318435597250666,2018-02-06
266,1816.3759322606854,1890,2.0,17.067757199615972,2018-02-07
267,1707.6010837622334,1776,2.0,17.320032518663137,2018-02-08
268,1458.5042597291153,1524,2.0,17.919396393869068,2018-02-09
269,1368.5487195624908,1461,2.0,16.646518530381442,2018-02-10
270,1274.533043353764,1361,2.0,16.535310035327164,2018-02-11
271,1079.4875355247332,1236,2.0,14.976444866229137,2018-02-12
272,988.323059333169,1176,2.0,14.300346663816262,2018-02-13
273,1095.515804733258,1274,2.0,15.529310539162536,2018-02-14
274,1118.8785444732528,1313,2.0,15.339842023476598,2018-02-15
275,1118.9755636134253,1358,2.0,14.919959662082212,2018-02-16
276,1097.2267537547116,1337,2.0,15.461223734149002,2018-02-17
277,1054.1160070111882,1327,2.0,15.1233246114779,2018-02-18
278,1130.1064180367132,1371,2.0,17.03416409877544,2018-02-19
279,1116.6097046635555,1380,2.0,16.592871519629668,2018-02-20
280,992.6693157570593,1321,2.0,15.364320254143022,2018-02-21
281,896.9163590091609,1263,2.0,13.900397604390326,2018-02-22
282,796.6262910337374,1156,2.0,12.89586800302569,2018-02-23
283,723.6595544574978,1110,2.0,12.55216611572124,2018-02-24
284,698.6128304403564,1080,2.0,12.254290053125608,2018-02-25
285,640.416475464327,993,2.0,11.770637752577137,2018-02-26
286,640.8363012310612,976,2.0,12.090610560457051,2018-02-27
287,588.5213087160504,902,2.0,12.36279981472565,2018-02-28
288,617.7011297105237,935,2.0,12.907904469280783,2018-03-01
289,631.9678293093962,981,2.0,12.073629583019471,2018-03-02
290,712.8287492588955,1080,2.0,11.429569660825605,2018-03-03
291,733.6173885696893,1094,2.0,11.372550188976145,2018-03-04
292,931.4857163532871,1315,2.0,12.197441794707958,2018-03-05
293,1011.2666628518857,1293,2.0,12.717125480643492,2018-03-06
294,1040.836940564469,1319,2.0,12.59272232500233,2018-03-07
295,1017.783599298315,1302,2.0,12.221502006246446,2018-03-08
296,1028.4369241909437,1289,2.0,12.494763537330874,2018-03-09
297,935.4740174434935,1198,2.0,12.413261045604429,2018-03-10
298,901.9290423981779,1164,2.0,12.147168070001262,2018-03-11
299,640.5901428371436,959,2.0,10.421622642870842,2018-03-12
300,496.19578373388777,843,2.0,9.685592076410394,2018-03-13
301,459.2488952213704,799,2.0,9.421683823231646,2018-03-14
302,412.27741257120573,754,2.0,8.674921033448053,2018-03-15
303,378.5612695355146,692,2.0,8.699196848244583,2018-03-16
304,358.90838330253086,659,2.0,8.786202211088536,2018-03-17
305,385.3055750681695,701,2.0,8.95798724859945,2018-03-18
306,384.9188992748266,688,2.0,8.994867761016216,2018-03-19
307,443.34698068627705,764,2.0,9.638950111202542,2018-03-20
308,476.30217812454947,829,2.0,9.894909641948304,2018-03-21
309,534.4045016317843,860,2.0,11.613189727829766,2018-03-22
310,552.8816696538687,849,2.0,11.911895757147569,2018-03-23
311,558.0626664651558,845,2.0,12.065495271126006,2018-03-24
312,519.3164166741672,775,2.0,11.27570141811752,2018-03-25
313,510.3134935984664,775,2.0,11.359595058676376,2018-03-26
314,501.06835821857277,742,2.0,11.390674343545522,2018-03-27
315,455.6933233740037,653,2.0,11.734856826272281,2018-03-28
316,414.79913783441816,609,2.0,11.439631330237928,2018-03-29
317,445.6361067996136,630,2.0,12.002177225305227,2018-03-30
318,425.2946636706039,616,2.0,11.040204599672395,2018-03-31
319,402.5312463973113,622,2.0,9.992822159905664,2018-04-01
320,388.7042091559711,616,2.0,9.21580440124917,2018-04-02
321,378.07024295200097,601,2.0,9.03034057798129,2018-04-03
