,open,high,low,close,volume,marketCap,date
59,1.529919982,1.5983400345,1.257060051,1.4291299582,327985,48026152.3147,2017-07-16
60,1.4257700443,1.7122100592,1.3884299994,1.7099900246,477114,57464499.5183,2017-07-17
61,1.7194999456,2.1230299473,1.6373399496,2.0159699917,508917,67747008.517,2017-07-18
62,2.0248799324,2.1154100895,1.7804199457,1.7984700203,423748,60437884.6945,2017-07-19
63,1.8111499548,2.1746399403,1.8111499548,2.0018000603,445853,67270823.3006,2017-07-20
64,2.0179400444,2.1811599731,1.9769400358,2.082750082,312070,69991161.5693,2017-07-21
65,2.0823700428,2.2650699615,2.0716099739,2.2618300915,322467,76009174.8756,2017-07-22
66,2.2606899738,2.2962601185,2.1058199406,2.1904299259,339806,73609765.9518,2017-07-23
67,2.1600298882,2.2049400806,2.1130099297,2.1534900665,276677,72368391.0828,2017-07-24
68,2.1539700031,2.1925499439,1.5929000378,1.6868100166,593523,56685531.7473,2017-07-25
69,1.6838300228,1.7762900591,1.60552001,1.7692500353,445200,59455941.7147,2017-07-26
70,1.7737699747,1.7995200157,1.6378999949,1.6832499504,265010,56565897.3527,2017-07-27
71,1.6876100302,1.7245500088,1.5156199932,1.5908099413,490408,53459435.7153,2017-07-28
72,1.585950017,1.630030036,1.4869699478,1.6266200542,350613,54662836.7455,2017-07-29
73,1.6337499619,1.6572099924,1.5443600416,1.6381800175,239215,55051312.4761,2017-07-30
74,1.6402900219,1.7069200277,1.5808000565,1.6836400032,265313,56579003.3679,2017-07-31
75,1.6841100454,1.8494499922,1.5968699455,1.8101500273,299507,60830393.045,2017-08-01
76,1.796489954,1.8013800383,1.6003400087,1.755859971,306111,59005968.5286,2017-08-02
77,1.7585099936,1.911569953,1.7397400141,1.8807400465,409120,63202581.7836,2017-08-03
78,1.8808000088,1.983610034,1.8688700199,1.9163399935,362206,64398925.7288,2017-08-04
79,1.9160300493,2.1718699932,1.8972599506,2.0912599564,472444,70277141.5404,2017-08-05
80,2.1177000999,2.1908500195,2.0248301029,2.093280077,404444,70345023.9778,2017-08-06
81,2.083329916,2.134180069,1.9831000566,2.0924398899,403798,70316795.6375,2017-08-07
82,2.0803000927,2.2493400574,2.0104598999,2.149130106,587613,72221872.5547,2017-08-08
83,2.1171898842,2.3885700703,2.1171898842,2.360699892,727888,79331717.7369,2017-08-09
84,2.3708798885,2.7990999222,2.2795000076,2.5631699562,1299060,86135755.8994,2017-08-10
85,2.5625600815,3.0177600384,2.5568199158,2.9570000172,2631060,99370478.819,2017-08-11
86,2.8917601109,3.1017699242,2.77718997,2.9163999557,1078570,98006109.0388,2017-08-12
87,2.9316298962,2.9906599522,2.5165300369,2.5165300369,1102490,84568410.9105,2017-08-13
88,2.5459899902,2.7782800198,2.3386600018,2.6969799995,932953,90632463.2957,2017-08-14
89,2.7056601048,2.7620699406,2.2812299728,2.4507899284,767516,82359207.2319,2017-08-15
90,2.4361701012,2.5958900452,2.3848400116,2.5405099392,750076,85374262.8152,2017-08-16
91,2.5377800465,2.5517299175,2.2981300354,2.4521501064,742746,82404910.259,2017-08-17
92,2.4393999577,2.4767100811,2.2736599445,2.3549799919,543222,79139496.1817,2017-08-18
93,2.353509903,2.6249599457,2.1953799725,2.5609400272,795690,86060816.377,2017-08-19
94,2.5507500172,2.8608601093,2.452860117,2.7663400173,739923,92963317.6788,2017-08-20
95,2.75289011,2.9250500202,2.6168599129,2.6526699066,867557,89143418.3459,2017-08-21
96,2.6573998928,2.6574499607,2.3630900383,2.5417299271,405765,85415261.1189,2017-08-22
97,2.541260004,2.6207799911,2.4714300632,2.5568199158,467406,85922363.0889,2017-08-23
98,2.5233700275,2.8425500393,2.5017900467,2.7843599319,624648,93568882.7881,2017-08-24
99,2.8086400032,2.8485798836,2.6769099236,2.7629499435,399046,92849396.1627,2017-08-25
100,2.7654299736,2.9537100792,2.6739299297,2.9225199223,613011,98211772.6608,2017-08-26
101,2.9409101009,2.988120079,2.7391200066,2.8399600983,482067,95437330.0733,2017-08-27
102,2.8419799805,3.1847200394,2.7335000038,3.1845800877,958386,107018342.725,2017-08-28
103,3.19039011,3.2099699974,2.9087300301,3.0140900612,904782,101288997.803,2017-08-29
104,3.0108399391,3.1379799843,2.9294700623,3.0700199604,563509,103168534.793,2017-08-30
105,3.0622699261,3.1199700832,2.9020400047,2.921610117,689530,96445380.7594,2017-08-31
106,2.9260799885,2.9709599018,2.7322499752,2.8237900734,904657,93229288.163,2017-09-01
107,2.8400800228,2.8624799252,2.4330699444,2.5622599125,505254,84594702.8244,2017-09-02
108,2.5642399788,2.6740000248,2.4887099266,2.5810399055,382014,85214736.9033,2017-09-03
109,2.5808498859,2.5842700005,1.8603800535,2.1407499313,991351,70678272.3343,2017-09-04
110,2.1256198883,2.3611299992,1.884739995,2.3258700371,527783,76790131.157,2017-09-05
111,2.3153600693,2.4202799797,2.2253201008,2.2950899601,540724,75773909.1682,2017-09-06
112,2.2792201042,2.2882800102,2.1521699429,2.1710700989,721831,71679307.1199,2017-09-07
113,2.1636300087,2.3014900684,1.9694900513,2.0845499039,585419,68822792.2899,2017-09-08
114,2.0867300034,2.1712200642,1.9775899649,2.0636799335,486870,68133755.4833,2017-09-09
115,2.0651299953,2.0651299953,1.8727400303,1.943359971,390270,64161311.3739,2017-09-10
116,1.9343700409,2.0629398823,1.8429900408,1.8904000521,497748,62412802.0651,2017-09-11
117,1.8893500566,1.9887100458,1.8172600269,1.8844900131,480641,62217679.5195,2017-09-12
118,1.8861099482,1.8890999556,1.6205899715,1.7870999575,741807,59002284.4745,2017-09-13
119,1.787989974,1.8294199705,1.3470799923,1.4309999943,396526,47138754.8436,2017-09-14
120,1.4400999546,1.6643400192,1.2408399582,1.6423100233,395562,54099544.701,2017-09-15
121,1.6382000446,1.6911400557,1.5525000095,1.5850000381,363528,52211688.6283,2017-09-16
122,1.5788400173,1.6493699551,1.5211499929,1.6390299797,282616,53991497.7997,2017-09-17
123,1.6368900537,1.9270700216,1.6368900537,1.9270700216,469489,63479860.4448,2017-09-18
124,1.9313900471,1.9742599726,1.8219900131,1.8219900131,436441,60018406.6649,2017-09-19
125,1.8178100586,1.9938600063,1.7870399952,1.9371900558,486492,63813224.6649,2017-09-20
126,1.9149600267,1.9456100464,1.6278300285,1.6570800543,380055,54586085.1686,2017-09-21
127,1.6639100313,1.7077900171,1.5985399485,1.6309700012,281181,53725992.3042,2017-09-22
128,1.6278799772,1.883409977,1.6103600264,1.8833199739,385085,62038686.0741,2017-09-23
129,1.8888499737,1.8888499737,1.723279953,1.7565799952,330400,57863727.4516,2017-09-24
130,1.7563199997,1.8453999758,1.7297699451,1.8214800358,348933,60001606.6894,2017-09-25
131,1.8212300539,1.8785300255,1.8026299477,1.8026299477,330678,59380666.4177,2017-09-26
132,1.8025399446,1.9399399757,1.7939300537,1.9245500565,334295,63396848.801,2017-09-27
133,1.9386700392,1.9409300089,1.8528399467,1.8923799992,341170,62337132.6981,2017-09-28
134,1.8773599863,1.8971300125,1.7918800116,1.8175899982,283930,59881309.6365,2017-09-29
135,1.8246400356,1.9437600374,1.8152400255,1.933940053,318152,63714512.0508,2017-09-30
136,1.9384100437,1.9551500082,1.8543100357,1.9045499563,492416,62746245.4504,2017-10-01
137,1.9040499926,1.9530199766,1.7751899958,1.7981499434,369341,59240850.2043,2017-10-02
138,1.8026599884,1.8266199827,1.6339399815,1.7432500124,401641,57436759.8103,2017-10-03
